service_id,vehicle_id,service_date,service_type,service_cost,warranty_claim,dealer_region
133,538,2025-05-15,Major,14971,No,Delhi
134,1309,2025-10-29,Major,14776,Yes,Mumbai
135,1999,2026-02-02,Major,13500,Yes,Mumbai
136,848,2024-12-30,Major,17378,Yes,Chennai
137,304,2024-05-21,Minor,10291,No,Bangalore
138,176,2025-01-11,Repair,13232,Yes,Hyderabad
139,151,2025-04-04,Major,14487,No,Hyderabad
140,1958,2024-10-02,Repair,13344,No,Mumbai
141,1006,2024-07-26,Major,13870,Yes,Bangalore
142,673,2024-04-30,Major,17639,Yes,Hyderabad
143,996,2023-10-15,Repair,10561,No,Mumbai
144,1191,2023-12-20,Major,16606,Yes,Hyderabad
145,1340,2023-08-13,Repair,13693,No,Delhi
146,878,2025-02-21,Major,15339,Yes,Hyderabad
147,1954,2023-05-13,Minor,7663,No,Bangalore
148,1062,2023-02-23,Minor,7919,Yes,Hyderabad
149,965,2025-12-29,Major,14406,No,Bangalore
150,420,2023-04-03,Repair,9729,No,Bangalore
151,1063,2023-12-23,Major,11677,Yes,Hyderabad
152,806,2024-04-17,Minor,8039,Yes,Bangalore
153,844,2024-10-26,Major,17078,Yes,Bangalore
154,1701,2024-12-06,Repair,12225,No,Bangalore
155,357,2023-12-14,Repair,9599,No,Bangalore
156,214,2026-01-26,Repair,13672,Yes,Bangalore
157,1601,2023-09-11,Major,19402,No,Bangalore
158,584,2025-04-15,Major,14578,No,Mumbai
159,372,2025-01-11,Repair,9668,No,Delhi
160,1676,2024-02-23,Major,15483,Yes,Hyderabad
161,1014,2023-12-09,Major,14389,No,Mumbai
162,535,2023-06-25,Repair,11435,No,Bangalore
163,540,2023-10-26,Minor,6632,No,Hyderabad
164,59,2024-12-01,Major,14649,No,Bangalore
165,1956,2024-07-26,Major,15660,No,Hyderabad
166,1464,2025-03-05,Minor,9430,No,Hyderabad
167,1418,2025-03-20,Minor,5241,Yes,Chennai
168,1631,2025-10-08,Repair,10151,Yes,Delhi
169,1331,2024-08-07,Major,17433,No,Bangalore
170,1440,2025-12-03,Repair,7529,Yes,Mumbai
171,874,2025-07-27,Repair,13092,Yes,Delhi
172,747,2023-03-26,Minor,7712,Yes,Bangalore
173,800,2023-04-04,Repair,13541,No,Mumbai
174,501,2024-07-13,Major,13023,No,Mumbai
175,1347,2024-05-08,Repair,15021,No,Bangalore
176,283,2023-12-09,Minor,8255,Yes,Hyderabad
177,1799,2023-03-23,Repair,8337,Yes,Delhi
178,260,2024-01-31,Major,16704,No,Delhi
179,15,2024-09-13,Major,12242,Yes,Hyderabad
180,1212,2024-06-24,Minor,6459,No,Delhi
181,1647,2024-02-22,Minor,7466,Yes,Mumbai
182,595,2024-12-05,Major,12604,Yes,Bangalore
183,1324,2023-05-04,Repair,13304,Yes,Hyderabad
184,745,2024-04-11,Major,15999,No,Delhi
185,624,2024-05-24,Minor,12403,Yes,Bangalore
186,696,2024-03-13,Major,11849,Yes,Mumbai
187,73,2024-01-05,Major,12144,No,Hyderabad
188,256,2024-12-31,Repair,9323,No,Chennai
189,1530,2025-03-21,Repair,12264,Yes,Chennai
190,1176,2025-11-24,Major,13811,Yes,Hyderabad
191,407,2023-09-20,Minor,8599,Yes,Hyderabad
192,1371,2025-02-23,Minor,9997,Yes,Delhi
193,1434,2024-05-13,Major,14487,No,Hyderabad
194,946,2025-09-20,Major,18965,Yes,Hyderabad
195,1563,2023-12-15,Minor,8658,Yes,Delhi
196,538,2023-03-15,Minor,8296,No,Delhi
197,800,2024-06-19,Major,17545,Yes,Chennai
198,1942,2024-07-26,Minor,10317,Yes,Hyderabad
199,1332,2023-06-21,Repair,10172,Yes,Chennai
200,979,2023-06-14,Minor,7659,Yes,Hyderabad
201,1354,2026-01-29,Major,13727,Yes,Delhi
202,748,2024-03-15,Minor,7773,No,Hyderabad
203,1812,2023-08-16,Repair,11727,Yes,Mumbai
204,1250,2023-08-14,Repair,10049,No,Chennai
205,735,2024-05-19,Minor,9650,Yes,Bangalore
206,372,2025-05-15,Minor,7049,No,Hyderabad
207,323,2023-11-18,Minor,8395,No,Mumbai
208,843,2025-04-18,Major,13011,No,Mumbai
209,789,2025-11-11,Minor,8702,No,Bangalore
210,954,2024-05-25,Repair,10965,Yes,Bangalore
211,688,2025-02-14,Repair,8028,No,Chennai
212,178,2023-11-23,Minor,5121,No,Chennai
213,931,2023-07-12,Repair,13130,Yes,Delhi
214,1449,2023-12-07,Major,17480,No,Delhi
215,510,2025-02-06,Major,15976,Yes,Bangalore
216,1528,2024-11-13,Repair,10676,No,Hyderabad
217,1924,2025-10-30,Minor,9741,Yes,Mumbai
218,1631,2023-04-03,Minor,7319,Yes,Bangalore
219,1869,2024-11-02,Major,13927,Yes,Hyderabad
220,1757,2025-01-24,Major,15253,No,Hyderabad
221,1847,2023-05-17,Minor,11380,No,Bangalore
222,1922,2024-02-10,Minor,10457,Yes,Mumbai
223,604,2025-08-28,Minor,8650,Yes,Bangalore
224,1305,2024-04-09,Major,13287,Yes,Bangalore
225,375,2024-12-10,Major,12407,Yes,Hyderabad
226,191,2023-07-02,Repair,13731,No,Chennai
227,763,2024-01-18,Minor,9605,Yes,Chennai
228,1995,2024-01-31,Repair,10207,No,Hyderabad
229,950,2024-09-09,Minor,12573,Yes,Chennai
230,825,2025-04-08,Repair,9680,Yes,Hyderabad
231,1162,2023-03-21,Major,16351,Yes,Hyderabad
232,598,2025-04-23,Major,16223,Yes,Chennai
233,1059,2023-10-08,Minor,10171,Yes,Bangalore
234,346,2024-09-24,Major,19739,No,Chennai
235,1861,2026-01-27,Repair,8215,Yes,Bangalore
236,955,2023-12-02,Repair,12134,Yes,Mumbai
237,1938,2024-04-02,Minor,5772,No,Delhi
238,1436,2025-10-22,Repair,12659,Yes,Bangalore
239,1689,2023-05-31,Repair,11053,No,Chennai
240,737,2024-07-13,Repair,13491,No,Hyderabad
241,271,2025-09-13,Minor,9622,No,Hyderabad
242,830,2025-08-01,Minor,9298,No,Delhi
243,1044,2026-01-07,Major,18484,Yes,Mumbai
244,920,2023-07-21,Minor,10614,No,Hyderabad
245,1743,2024-04-20,Repair,13717,Yes,Hyderabad
246,480,2025-03-23,Minor,6931,No,Hyderabad
247,1244,2026-01-09,Minor,11843,Yes,Delhi
248,1910,2024-11-29,Minor,7878,Yes,Delhi
249,1498,2023-04-03,Repair,13584,Yes,Bangalore
250,893,2024-05-20,Major,17321,Yes,Delhi
251,249,2023-03-30,Minor,9057,No,Delhi
252,1616,2025-01-05,Major,16747,No,Bangalore
253,477,2024-11-20,Repair,9576,No,Bangalore
254,175,2023-03-18,Repair,12928,No,Mumbai
255,647,2025-04-21,Major,16940,No,Hyderabad
256,1086,2023-04-18,Major,18586,Yes,Hyderabad
257,1177,2024-09-13,Major,16374,Yes,Chennai
258,1156,2024-01-30,Repair,9975,No,Hyderabad
259,1075,2025-02-15,Major,18890,Yes,Chennai
260,510,2025-11-27,Major,15346,Yes,Mumbai
261,1147,2025-06-16,Minor,9204,Yes,Mumbai
262,1698,2023-07-04,Major,16784,No,Chennai
263,814,2024-08-02,Major,16216,No,Hyderabad
264,1115,2025-12-17,Minor,5277,No,Bangalore
265,367,2023-05-23,Repair,14473,No,Delhi
266,1594,2025-06-27,Major,14989,Yes,Bangalore
267,192,2023-07-04,Repair,13281,Yes,Hyderabad
268,871,2023-06-04,Major,15629,Yes,Bangalore
269,217,2025-07-05,Minor,6429,Yes,Mumbai
270,1097,2024-12-15,Major,12782,Yes,Delhi
271,528,2025-12-19,Repair,12727,No,Hyderabad
272,265,2026-01-03,Major,16079,Yes,Chennai
273,68,2024-06-27,Minor,9918,Yes,Hyderabad
274,1569,2024-04-30,Major,16058,No,Hyderabad
275,560,2023-10-20,Minor,8366,Yes,Mumbai
276,879,2025-12-01,Major,17348,No,Delhi
277,358,2025-11-13,Repair,10596,Yes,Chennai
278,381,2024-10-05,Major,16801,No,Mumbai
279,904,2025-09-08,Major,15500,Yes,Chennai
280,596,2023-12-11,Minor,5221,Yes,Hyderabad
281,934,2023-09-22,Major,14139,No,Bangalore
282,817,2024-10-10,Major,12589,No,Delhi
283,1462,2023-05-19,Minor,7809,Yes,Delhi
284,613,2024-06-26,Repair,9283,Yes,Mumbai
285,1097,2025-01-09,Repair,8258,Yes,Chennai
286,1811,2023-09-30,Minor,7316,No,Mumbai
287,1305,2025-06-01,Minor,6828,Yes,Mumbai
288,221,2025-03-06,Major,14360,No,Hyderabad
289,1457,2024-03-10,Major,14909,No,Chennai
290,1470,2024-08-23,Minor,8999,No,Delhi
291,1570,2024-10-27,Repair,10307,Yes,Delhi
292,1943,2024-08-12,Repair,11024,Yes,Chennai
293,456,2024-03-11,Major,18298,No,Bangalore
294,1659,2023-03-29,Major,17699,No,Mumbai
295,268,2023-12-01,Minor,7161,Yes,Mumbai
296,934,2026-01-01,Minor,7032,Yes,Mumbai
297,1714,2024-10-18,Major,16306,No,Chennai
298,260,2024-10-20,Minor,10009,No,Mumbai
299,1160,2024-08-13,Major,12163,Yes,Chennai
300,1150,2024-12-15,Minor,8958,Yes,Mumbai
301,1197,2025-11-02,Major,16093,Yes,Mumbai
302,1184,2023-09-13,Repair,9690,Yes,Delhi
303,1047,2025-06-05,Repair,11764,No,Hyderabad
304,1346,2024-03-02,Minor,8900,Yes,Delhi
305,974,2024-05-30,Repair,13327,No,Delhi
306,1130,2025-06-04,Minor,9924,Yes,Delhi
307,138,2023-03-18,Minor,11625,No,Hyderabad
308,1420,2023-12-30,Major,15763,Yes,Mumbai
309,1836,2024-05-07,Minor,5756,Yes,Mumbai
310,722,2025-12-31,Major,14260,No,Delhi
311,588,2025-10-08,Major,12749,No,Bangalore
312,190,2025-08-27,Repair,11549,Yes,Delhi
313,886,2024-05-03,Major,17210,No,Delhi
314,75,2025-04-02,Repair,15668,Yes,Bangalore
315,1738,2024-02-16,Major,15442,No,Bangalore
316,877,2023-07-05,Repair,9837,No,Bangalore
317,753,2023-04-30,Repair,11761,No,Chennai
318,13,2025-10-24,Minor,9912,Yes,Hyderabad
319,623,2025-04-26,Repair,9088,Yes,Delhi
320,1672,2023-11-19,Minor,10644,No,Chennai
321,900,2024-03-20,Repair,12905,No,Mumbai
322,1361,2024-03-30,Major,12910,No,Hyderabad
323,1257,2023-09-30,Minor,11128,No,Mumbai
324,84,2024-10-26,Minor,7275,No,Delhi
325,1971,2024-07-11,Repair,8515,Yes,Delhi
326,867,2024-11-11,Minor,7574,No,Hyderabad
327,359,2024-08-19,Repair,14647,Yes,Bangalore
328,1454,2024-09-29,Repair,14992,Yes,Mumbai
329,868,2026-01-22,Major,15146,No,Chennai
330,59,2023-05-12,Major,14991,No,Chennai
331,1985,2025-09-23,Repair,11152,Yes,Chennai
332,218,2025-06-08,Minor,9082,No,Chennai
333,899,2025-05-22,Major,13130,No,Bangalore
334,417,2023-10-17,Repair,15871,No,Delhi
335,402,2024-11-30,Minor,11193,No,Delhi
336,1917,2024-11-15,Repair,15329,Yes,Hyderabad
337,158,2023-06-26,Major,14552,Yes,Mumbai
338,1628,2024-11-12,Major,16343,Yes,Chennai
339,1065,2025-12-16,Major,16848,Yes,Chennai
340,1212,2025-09-22,Minor,6217,No,Chennai
341,548,2023-07-25,Repair,9319,No,Hyderabad
342,1347,2025-06-24,Major,19586,Yes,Mumbai
343,703,2025-03-30,Repair,10882,Yes,Delhi
344,746,2023-09-27,Minor,12173,Yes,Mumbai
345,1269,2025-09-26,Repair,13049,No,Mumbai
346,1939,2024-08-23,Repair,10811,Yes,Delhi
347,455,2024-01-16,Repair,14006,Yes,Delhi
348,506,2023-11-30,Minor,6110,No,Delhi
349,807,2024-12-03,Minor,5762,No,Bangalore
350,1655,2025-12-27,Minor,9764,No,Chennai
351,1842,2025-04-23,Repair,11300,Yes,Mumbai
352,1182,2023-06-30,Minor,9041,No,Hyderabad
353,658,2023-06-27,Repair,12580,Yes,Hyderabad
354,1752,2024-05-13,Major,13559,Yes,Chennai
355,53,2025-01-17,Minor,8249,Yes,Mumbai
356,1159,2023-06-19,Major,14902,Yes,Chennai
357,1878,2023-07-28,Repair,10346,Yes,Delhi
358,581,2023-10-15,Minor,6188,Yes,Hyderabad
359,1374,2024-09-15,Minor,9961,Yes,Hyderabad
360,1997,2025-05-21,Repair,10623,No,Bangalore
361,178,2024-06-02,Minor,5349,Yes,Chennai
362,1860,2025-10-04,Minor,11097,Yes,Mumbai
363,562,2023-07-08,Minor,8120,Yes,Bangalore
364,236,2025-06-10,Major,19179,Yes,Chennai
365,805,2024-12-12,Major,14961,No,Bangalore
366,13,2023-06-15,Repair,12492,No,Bangalore
367,812,2024-06-11,Minor,11251,Yes,Hyderabad
368,637,2024-01-01,Major,18433,Yes,Chennai
369,1010,2024-07-22,Repair,12427,No,Bangalore
370,772,2024-02-19,Repair,12543,Yes,Hyderabad
371,1615,2026-01-26,Major,14591,No,Delhi
372,998,2023-05-20,Repair,12887,No,Chennai
373,1474,2024-09-26,Major,12925,No,Bangalore
374,1550,2023-03-07,Repair,10642,Yes,Delhi
375,1770,2023-06-24,Repair,8479,No,Mumbai
376,1346,2024-07-15,Repair,12479,Yes,Chennai
377,93,2023-04-25,Minor,7049,No,Delhi
378,1539,2024-07-22,Major,12580,Yes,Bangalore
379,1074,2024-01-10,Minor,6037,No,Delhi
380,1363,2023-09-09,Minor,9043,Yes,Mumbai
381,891,2023-08-12,Major,18975,Yes,Bangalore
382,1587,2023-04-07,Major,11701,Yes,Mumbai
383,1406,2024-04-13,Minor,7272,Yes,Bangalore
384,1129,2023-02-24,Major,17345,No,Delhi
385,570,2023-10-18,Major,11629,Yes,Chennai
386,1936,2023-12-28,Repair,12614,Yes,Bangalore
387,1457,2024-06-15,Major,14632,Yes,Mumbai
388,200,2025-06-05,Minor,10700,No,Bangalore
389,1255,2025-05-25,Repair,10162,Yes,Hyderabad
390,1911,2023-10-30,Minor,8877,No,Chennai
391,1102,2026-01-28,Major,17015,No,Delhi
392,1972,2024-10-31,Repair,10979,No,Mumbai
393,1432,2023-07-11,Major,16670,No,Chennai
394,1977,2023-08-18,Major,15526,No,Hyderabad
395,550,2026-01-03,Minor,6823,Yes,Bangalore
396,1087,2023-11-18,Major,16103,No,Chennai
397,1632,2024-06-25,Minor,9037,Yes,Mumbai
398,518,2024-05-27,Minor,9086,No,Bangalore
399,1081,2024-12-03,Major,16096,No,Bangalore
400,952,2023-04-23,Repair,8766,No,Chennai
401,1988,2024-12-07,Minor,8578,Yes,Chennai
402,468,2025-01-12,Major,12517,Yes,Bangalore
403,1307,2025-09-17,Repair,12131,Yes,Chennai
404,1483,2025-10-30,Repair,8023,Yes,Mumbai
405,1285,2024-06-04,Minor,10055,Yes,Chennai
406,1488,2023-11-20,Major,16034,Yes,Hyderabad
407,1902,2024-10-18,Minor,7359,Yes,Hyderabad
408,1754,2024-04-24,Major,18916,No,Mumbai
409,280,2023-05-17,Repair,10767,Yes,Chennai
410,509,2025-10-15,Repair,13222,Yes,Bangalore
411,632,2023-09-11,Minor,8246,No,Mumbai
412,963,2025-01-31,Minor,4618,Yes,Hyderabad
413,630,2023-05-18,Repair,13222,No,Chennai
414,442,2023-09-11,Repair,8936,No,Bangalore
415,1564,2024-01-21,Repair,13197,Yes,Chennai
416,284,2023-06-06,Minor,5690,No,Delhi
417,1261,2023-08-03,Major,14272,No,Hyderabad
418,1265,2023-08-13,Major,12855,Yes,Hyderabad
419,1155,2023-03-03,Minor,7349,Yes,Hyderabad
420,467,2025-11-24,Major,14037,Yes,Chennai
421,1677,2023-05-26,Minor,7042,No,Delhi
422,368,2024-03-10,Major,16029,Yes,Hyderabad
423,413,2023-08-11,Repair,9454,Yes,Chennai
424,388,2025-01-16,Minor,8266,No,Delhi
425,23,2024-10-01,Major,14563,No,Delhi
426,1452,2025-09-28,Major,16926,Yes,Bangalore
427,1816,2024-10-30,Repair,11947,Yes,Hyderabad
428,1195,2023-06-07,Repair,12693,No,Chennai
429,553,2023-12-13,Major,14184,Yes,Delhi
430,1790,2025-05-03,Minor,8487,No,Mumbai
431,1992,2024-11-08,Major,18584,No,Hyderabad
432,1514,2025-04-09,Repair,7813,Yes,Chennai
433,186,2025-03-20,Repair,12889,No,Mumbai
434,1648,2025-10-04,Major,16614,Yes,Mumbai
435,1745,2023-03-31,Repair,12971,No,Delhi
436,653,2024-02-08,Repair,9138,No,Bangalore
437,1953,2025-09-02,Minor,9329,Yes,Hyderabad
438,1187,2025-04-22,Repair,13603,No,Hyderabad
439,1472,2024-05-21,Major,14734,No,Mumbai
440,1701,2025-10-24,Major,16329,Yes,Chennai
441,1780,2025-10-24,Major,19027,No,Chennai
442,1754,2023-04-11,Repair,14910,No,Delhi
443,1108,2026-01-12,Repair,8523,No,Mumbai
444,331,2024-12-01,Major,16065,No,Hyderabad
445,1588,2024-07-10,Major,14211,No,Hyderabad
446,371,2023-04-12,Repair,13168,No,Delhi
447,560,2024-02-05,Minor,7603,No,Chennai
448,1791,2023-04-19,Minor,7404,No,Chennai
449,521,2024-09-06,Major,14350,No,Delhi
450,365,2023-10-30,Minor,11201,No,Delhi
451,701,2024-07-23,Minor,7542,Yes,Mumbai
452,1990,2024-12-29,Repair,11311,Yes,Bangalore
453,1355,2024-06-05,Major,15637,No,Bangalore
454,123,2023-09-01,Repair,12181,No,Delhi
455,837,2024-04-20,Minor,8656,No,Mumbai
456,1545,2024-10-26,Major,14351,Yes,Mumbai
457,200,2023-06-05,Repair,13672,No,Delhi
458,1686,2023-12-29,Repair,10318,Yes,Delhi
459,798,2024-11-11,Repair,13025,No,Mumbai
460,1229,2023-06-13,Repair,14407,No,Bangalore
461,996,2024-06-24,Repair,11073,Yes,Hyderabad
462,1563,2025-02-10,Major,15800,Yes,Hyderabad
463,634,2024-04-17,Repair,10271,No,Delhi
464,1051,2024-01-12,Major,15350,Yes,Chennai
465,1009,2026-02-04,Minor,6736,No,Hyderabad
466,1783,2023-08-13,Minor,9853,No,Mumbai
467,618,2023-06-11,Repair,8328,Yes,Delhi
468,37,2025-05-12,Repair,10581,No,Bangalore
469,1483,2025-07-06,Repair,8485,No,Delhi
470,787,2024-08-20,Repair,13560,No,Mumbai
471,1958,2024-04-19,Minor,10148,Yes,Mumbai
472,283,2023-06-26,Major,15313,Yes,Hyderabad
473,1481,2023-03-04,Minor,9575,No,Bangalore
474,1233,2024-05-27,Repair,10511,No,Hyderabad
475,1493,2024-09-01,Major,16908,Yes,Chennai
476,141,2024-08-19,Repair,11339,No,Bangalore
477,1408,2025-10-18,Repair,12281,No,Chennai
478,1605,2025-09-18,Minor,9573,Yes,Chennai
479,376,2024-10-06,Minor,10742,No,Hyderabad
480,1420,2023-06-11,Minor,9348,No,Delhi
481,706,2024-06-01,Minor,7470,No,Chennai
482,1017,2023-04-08,Repair,10479,Yes,Hyderabad
483,1515,2023-03-16,Repair,7844,No,Bangalore
484,983,2024-05-26,Minor,6355,Yes,Chennai
485,1952,2024-08-22,Major,15683,No,Hyderabad
486,1076,2024-11-18,Minor,10449,No,Bangalore
487,1331,2025-01-31,Major,17428,No,Chennai
488,968,2024-01-11,Repair,11134,No,Delhi
489,493,2024-08-18,Repair,12537,Yes,Bangalore
490,1101,2024-12-23,Minor,9330,No,Bangalore
491,1196,2025-08-18,Major,15544,Yes,Bangalore
492,1723,2025-04-04,Major,14084,No,Delhi
493,242,2025-10-29,Minor,9115,Yes,Chennai
494,585,2023-08-23,Major,13347,No,Bangalore
495,602,2023-09-05,Minor,7862,Yes,Chennai
496,81,2024-01-21,Minor,7256,No,Mumbai
497,1831,2025-05-08,Minor,7341,No,Chennai
498,1776,2025-08-06,Major,13733,No,Mumbai
499,1994,2025-09-11,Minor,5422,No,Hyderabad
500,1500,2025-07-07,Repair,12728,No,Chennai
501,611,2024-04-16,Minor,9192,No,Hyderabad
502,43,2025-10-12,Repair,10900,Yes,Chennai
503,865,2023-07-24,Major,14878,Yes,Bangalore
504,560,2025-03-10,Minor,7680,No,Mumbai
505,168,2024-03-01,Repair,12201,Yes,Delhi
506,1125,2023-10-20,Major,18542,Yes,Mumbai
507,1390,2024-11-09,Minor,9922,No,Mumbai
508,1959,2023-03-26,Repair,13809,No,Delhi
509,98,2023-03-02,Major,17227,No,Chennai
510,715,2025-06-26,Minor,9805,Yes,Mumbai
511,1641,2023-06-12,Repair,11273,No,Chennai
512,651,2025-09-08,Major,14390,Yes,Chennai
513,769,2024-02-17,Major,14120,Yes,Delhi
514,1093,2024-11-04,Minor,10731,Yes,Chennai
515,1139,2024-07-11,Major,13836,No,Delhi
